player_id,games_played,goals,assists,minutes_played,yellow_cards,red_cards,goals_per_game,minutes_per_game
258889,15,3,0,1001,1,0,0.2,66.7
258919,37,0,0,3330,5,0,0.0,90.0
258923,32,8,9,1762,3,0,0.25,55.1
258987,19,0,0,1492,1,0,0.0,78.5
260827,33,0,1,2877,7,0,0.0,87.2
261503,9,1,0,547,0,0,0.111,60.8
261504,33,3,9,2676,6,0,0.091,81.1
261905,20,2,0,1109,3,0,0.1,55.4
262226,30,0,0,1842,4,0,0.0,61.4
262396,37,0,0,3330,1,0,0.0,90.0
262749,37,0,0,3330,1,0,0.0,90.0
262939,35,0,4,2726,6,0,0.0,77.9
262980,31,0,4,1724,7,0,0.0,55.6
263236,24,0,0,1491,8,0,0.0,62.1
263361,2,0,0,35,0,0,0.0,17.5
263727,3,0,0,22,1,0,0.0,7.3
263918,25,5,5,1661,2,0,0.2,66.4
264372,32,6,5,2642,3,0,0.188,82.6
264960,34,3,2,2809,2,0,0.088,82.6
265078,15,1,0,894,0,0,0.067,59.6
265088,36,1,2,3005,9,0,0.028,83.5
267160,25,3,0,911,3,0,0.12,36.4
268327,13,0,0,692,0,0,0.0,53.2
268429,14,0,1,519,2,0,0.0,37.1
268642,5,0,0,354,2,0,0.0,70.8
268670,28,0,3,1172,4,0,0.0,41.9
270171,25,1,4,1437,8,0,0.04,57.5
270393,3,0,0,223,0,0,0.0,74.3
270541,33,17,2,2351,3,0,0.515,71.2
271455,5,0,0,256,0,0,0.0,51.2
272278,33,7,8,1706,2,0,0.212,51.7
272622,13,1,0,814,2,0,0.077,62.6
272642,10,3,3,403,1,0,0.3,40.3
272812,32,2,0,1810,5,0,0.062,56.6
273132,26,3,1,1893,2,0,0.115,72.8
273669,24,1,1,860,1,0,0.042,35.8
274862,29,3,3,2021,1,0,0.103,69.7
275218,34,0,0,3060,5,0,0.0,90.0
275303,16,0,0,762,0,0,0.0,47.6
276111,25,1,0,2064,3,0,0.04,82.6
277033,31,1,3,1199,7,0,0.032,38.7
277179,7,0,0,419,2,0,0.0,59.9
277384,37,0,0,3309,6,0,0.0,89.4
277533,19,0,3,554,2,0,0.0,29.2
278296,24,0,1,2070,4,0,0.0,86.2
278332,17,0,1,935,0,0,0.0,55.0
278359,35,14,2,1902,7,0,0.4,54.3
278531,34,1,1,3017,4,0,0.029,88.7
278837,37,3,6,2636,1,0,0.081,71.2
279455,36,10,7,2694,7,0,0.278,74.8
279823,37,7,1,2316,2,0,0.189,62.6
280575,26,2,0,1109,3,0,0.077,42.7
280730,5,1,0,202,0,0,0.2,40.4
281769,27,3,2,2096,9,0,0.111,77.6
281963,25,0,3,1746,4,0,0.0,69.8
281989,37,1,10,3277,4,0,0.027,88.6
282028,5,0,0,450,0,0,0.0,90.0
282144,35,0,0,2918,12,0,0.0,83.4
282388,32,11,2,2247,1,0,0.344,70.2
282411,29,0,4,2184,5,0,0.0,75.3
282421,17,0,0,545,0,0,0.0,32.1
282660,32,6,4,2189,4,0,0.188,68.4
282939,12,0,1,564,1,0,0.0,47.0
283170,16,0,0,1440,0,0,0.0,90.0
283227,32,1,0,2568,3,0,0.031,80.2
283497,27,2,1,1249,1,0,0.074,46.3
283628,35,5,0,2199,3,0,0.143,62.8
283735,26,3,1,2114,6,0,0.115,81.3
283994,32,8,10,2824,9,0,0.25,88.2
284010,8,1,0,317,1,0,0.125,39.6
284270,34,0,0,3060,1,0,0.0,90.0
284430,36,0,1,3240,3,0,0.0,90.0
284730,33,2,0,2820,4,0,0.061,85.5
284732,21,5,2,1528,6,0,0.238,72.8
